title,release_year,title_and_year,getIMDBNumber,imdb_lookup,duration_minutes,toots,tpm,watched_date,is_double_feature,getRated,rated,getGenre,genre,getDirector,director,getActors,actors,getAwards,awards,getMetascore,metascore,getIMDBScore,imdb_score,getRealBoxOffice,real_box_office,attendees,event_toots,unique_servers,total_favorites,total_boosts,total_replies,engagement_score
Waxwork,1988,Waxwork (1988),,tt0096426,97,248,2.556701031,2026-05-24 22:47:00,TRUE,R,R,"Comedy, Horror","Comedy, Horror",Anthony Hickox,Anthony Hickox,"Zach Galligan, Deborah Foreman, Jennifer Bassey","Zach Galligan, Deborah Foreman, Jennifer Bassey",2.04,2.04,41,41,6.1,6.1,2257664.22,2257664.22,30,388,23,512,169,155,2.141509434
Terror in the Wax Museum,1973,Terror in the Wax Museum (1973),,tt0070783,93,1984,21.33333333,2026-05-24 21:00:00,FALSE,PG,PG,"Horror, Mystery","Horror, Mystery",Georg Fenady,Georg Fenady,"Ray Milland, Elsa Lanchester, Maurice Evans","Ray Milland, Elsa Lanchester, Maurice Evans",0.01,0.01,-1,-1,5,5,-1,-1,102,1850,59,2244,996,930,1.690140845
They Came from Beyond Space,1967,They Came from Beyond Space (1967),,tt0062360,85,175,2.058823529,2026-05-17 22:47:00,TRUE,UR,UR,"Adventure, Sci-Fi","Adventure, Sci-Fi",Freddie Francis,Freddie Francis,"Robert Hutton, Jennifer Jayne, Zia Mohyeddin","Robert Hutton, Jennifer Jayne, Zia Mohyeddin",0,0,-1,-1,4.5,4.5,-1,-1,27,277,23,226,130,79,1.575221239
Invasion: UFO,1980,Invasion: UFO (1980),,tt0216312,97,3204,33.03092784,2026-05-17 21:00:00,FALSE,NR,NR,"Action, Drama, Sci-Fi","Action, Drama, Sci-Fi","Gerry Anderson, Cyril Frankel, Jeremy Summers","Gerry Anderson, Cyril Frankel, Jeremy Summers","Ed Bishop, Michael Billington, Gabrielle Drake","Ed Bishop, Michael Billington, Gabrielle Drake",0,0,-1,-1,5.7,5.7,-1,-1,139,3104,85,2995,1452,1669,1.409955612
"Yongary, Monster from the Deep",1967,"Yongary, Monster from the Deep (1967)",,tt0061549,79,317,4.012658228,2026-05-10 22:48:00,TRUE,PG,PG,"Adventure, Drama, Fantasy","Adventure, Drama, Fantasy",Kim Ki-duk,Kim Ki-duk,"Yeong-il Oh, Jeong-im Nam, Lee Soon-jae","Yeong-il Oh, Jeong-im Nam, Lee Soon-jae",0,0,-1,-1,3.8,3.8,-1,-1,41,366,29,483,160,160,1.882869693
Reptilian,1999,Reptilian (1999),,tt0272425,98,3069,31.31632653,2026-05-10 21:00:00,FALSE,PG-13,PG-13,"Action, Fantasy, Sci-Fi","Action, Fantasy, Sci-Fi",Hyung-rae Shim,Hyung-rae Shim,"Richard Livingston, Harrison Young, D.J. Robbins","Richard Livingston, Harrison Young, D.J. Robbins",0.01,0.01,-1,-1,2.7,2.7,-1,-1,115,3085,67,3271,1316,1737,1.490737732
Silver Bullet,1985,Silver Bullet (1985),,tt0090021,95,2754,28.98947368,2026-05-03 21:00:00,FALSE,R,R,Horror,Horror,Daniel Attias,Daniel Attias,"Gary Busey, Everett McGill, Corey Haim","Gary Busey, Everett McGill, Corey Haim",0.02,0.02,26,26,6.4,6.4,37970229.67,37970229.67,124,2701,68,2884,2282,1490,1.894042163
Hercules Returns,1993,Hercules Returns (1993),,tt0107103,82,135,1.646341463,2026-04-26 22:42:00,TRUE,NR,NR,Comedy,Comedy,David Parker,David Parker,"David Argue, Michael Carman, Mary Coustas","David Argue, Michael Carman, Mary Coustas",0.01,0.01,-1,-1,7.3,7.3,-1,-1,35,240,27,213,154,93,1.957333333
Hercules in New York,1970,Hercules in New York (1970),,tt0065832,92,2795,30.38043478,2026-04-26 21:00:00,FALSE,G,G,"Adventure, Comedy, Fantasy","Adventure, Comedy, Fantasy",Arthur Allan Seidelman,Arthur Allan Seidelman,"Arnold Stang, Arnold Schwarzenegger, Deborah Loomis","Arnold Stang, Arnold Schwarzenegger, Deborah Loomis",0,0,23,23,3.3,3.3,-1,-1,128,2661,73,2560,1719,1436,1.568548387
Earth Girls Are Easy,1988,Earth Girls Are Easy (1988),tt0097257,tt0097257,100,313,3.13,2026-04-19 22:53:00,TRUE,PG,PG,"Comedy, Musical, Romance","Comedy, Musical, Romance",Julien Temple,Julien Temple,"Geena Davis, Jeff Goldblum, Jim Carrey","Geena Davis, Jeff Goldblum, Jim Carrey",0.03,0.03,66,66,5.5,5.5,10941150.82,10941150.82,37,261,25,261,100,106,1.257839721
Communion,1989,Communion (1989),,tt0097100,103,2980,28.93203883,2026-04-19 21:00:00,FALSE,R,R,"Biography, Drama, Horror","Biography, Drama, Horror","Biography, Drama, Horror",Philippe Mora,"Christopher Walken, Lindsay Crouse, Frances Sternhagen","Christopher Walken, Lindsay Crouse, Frances Sternhagen",0.01,0.01,-1,-1,5.5,5.5,5116494.49,5116494.49,124,2752,69,4531,1523,1633,2.11235171
Son of Dracula,1974,Son of Dracula (1974),,tt0072189,90,339,3.766666667,2026-04-12 22:27:00,TRUE,,PG,,"Comedy, Fantasy, Horror",,Freddie Francis,,"Harry Nilsson, Ringo Starr, Freddie Jones",,0,,-1,,4.2,,-1,51,309,33,352,184,125,1.654320988
Son of Dracula,1943,Son of Dracula (1943),,tt0036376,77,2536,32.93506494,2026-04-12 21:00:00,FALSE,,Approved,,"Drama, Fantasy, Horror",,Robert Siodmak,,"Lon Chaney Jr., Robert Paige, Louise Allbritton",,1,,47,,6.1,,-1,124,2053,72,3931,1533,1117,2.381346699
The Monster That Challenged the World,1957,The Monster That Challenged the World (1957),,tt0050722,84,2857,34.01190476,2026-04-05 21:00:00,FALSE,,Approved,,"Horror, Sci-Fi, Thriller",,Arnold Laven,,"Tim Holt, Audrey Dalton, Hans Conried",,0.01,,-1,,5.7,,-1,127,2769,67,4156,1939,1451,2.166725915
Critters 4,1992,Critters 4 (1992),,tt0101628,87,2550,29.31034483,2026-03-29 21:00:00,FALSE,,PG-13,,"Horror, Sci-Fi",,Rupert Harvey,,"Don Keith Opper, Terrence Mann, Paul Whitthorne",,0,,-1,,4.1,,-1,98,2249,56,3032,1132,1247,1.735361534
Kazaam,1996,Kazaam (1996),,tt0116756,94,281,2.989361702,2026-03-22 22:55:00,TRUE,,PG,,"Comedy, Family, Fantasy",,Paul Michael Glaser,,"Shaquille O'Neal, Francis Capra, Ally Walker",,0.02,,24,,3.1,,39890153.54,32,253,23,402,174,82,2.157303371
The Golden Voyage of Sinbad,1973,The Golden Voyage of Sinbad (1973),,tt0071569,105,3289,31.32380952,2026-03-22 21:00:00,FALSE,,G,,"Action, Adventure, Fantasy",,Gordon Hessler,,"John Phillip Law, Caroline Munro, Tom Baker",,3,,69,,6.8,,-1,127,2831,70,3723,1939,1169,1.850326797
"The Beast from 20,000 Fathoms",1953,"The Beast from 20,000 Fathoms (1953)",,tt0045546,80,289,3.6125,2026-03-15 22:54:00,TRUE,,Approved,,"Horror, Sci-Fi",,Eugène Lourié,,"Paul Hubschmid, Paula Raymond, Cecil Kellaway",,0.02,,-1,,6.6,,-1,35,256,24,355,147,87,1.842201835
Jason and the Argonauts,1963,Jason and the Argonauts (1963),,tt0057197,104,2784,26.76923077,2026-03-15 21:00:00,FALSE,,G,,"Action, Adventure, Family",,Don Chaffey,,"Todd Armstrong, Nancy Kovack, Gary Raymond",,0,,69,,7.3,,-1,116,2457,65,3843,1552,1265,2.058767411
Godzilla 1977,1977,Godzilla 1977 (1977),,tt1543211,96,254,2.645833333,2026-03-08 22:38:00,TRUE,,TV-MA,,"Action, Horror, Sci-Fi",,"Luigi Cozzi, Ishirô Honda, Terry O. Morse",,"Raymond Burr, Akira Takarada, Akihiko Hirata",,0,,-1,,5.2,,-1,28,194,19,299,135,98,1.9375
The Adventures of Hercules,1985,The Adventures of Hercules (1985),,tt0089271,88,3577,40.64772727,2026-03-08 21:00:00,FALSE,,PG,,"Adventure, Fantasy",,Luigi Cozzi,,"Lou Ferrigno, Milly Carlucci, Sonia Viviani",,0,,-1,,3.9,,-1,103,2874,62,2910,1640,1452,1.41063401
The Seven Magnificent Gladiators,1983,The Seven Magnificent Gladiators (1983),,tt0086289,100,363,3.63,2026-03-01 22:48:00,TRUE,,PG,,"Action, Adventure, Drama",,"Bruno Mattei, Claudio Fragasso",,"Lou Ferrigno, Sybil Danning, Brad Harris",,0,,-1,,3.7,,-1,42,300,29,496,293,165,2.380090498
Hercules,1983,Hercules (1983),,tt0085672,98,3967,40.47959184,2026-03-01 21:00:00,FALSE,,PG,,"Adventure, Fantasy, History",,Luigi Cozzi,,"Lou Ferrigno, Brad Harris, Sybil Danning",,2.03,,-1,,4.1,,35426527.28,126,3169,70,3298,1684,1789,1.396300448
The Flesh and the Fiends,1960,The Flesh and the Fiends (1960),,tt0052811,94,199,2.117021277,2026-02-22 22:32:00,TRUE,,UR,,"Crime, Drama, Thriller",,John Gilling,,"Peter Cushing, June Laverick, Donald Pleasence",,0,,-1,,6.9,,-1,36,147,27,283,102,72,2.225433526
Dr. Who and the Daleks,1965,Dr. Who and the Daleks (1965),,tt0059126,82,2807,34.23170732,2026-02-22 21:00:00,FALSE,,NR,,"Adventure, Drama, Sci-Fi",,Gordon Flemyng,,"Peter Cushing, Roy Castle, Jennie Linden",,0,,-1,,5.6,,-1,125,2311,73,3819,1410,1177,2.043376319
Master of Horror,1965,Master of Horror (1965),,tt1503643,60,240,4,2026-02-15 22:35:00,TRUE,,GP,,Horror,,Enrique Carreras,,"Narciso Ibáñez Menta, Osvaldo Pacheco, Inés Moreno",,0,,-1,,6.1,,-1,37,154,23,303,101,88,2.050761421
4D Man,1959,4D Man (1959),,tt0052530,85,3014,35.45882353,2026-02-15 21:00:00,FALSE,,Approved,,"Action, Horror, Romance",,Irvin S. Yeaworth Jr.,,"Robert Lansing, Lee Meriwether, James Congdon",,0,,-1,,5.8,,-1,112,2546,60,3392,1466,1234,1.747482014
Rebirth of Mothra III,1998,Rebirth of Mothra III (1998),,tt0189764,99,246,2.484848485,2026-02-08 22:31:00,TRUE,,TV-G,,"Action, Adventure, Fantasy",,Okihiro Yoneda,,"Megumi Kobayashi, Misato Tate, Aki Hano",,0,,-1,,5.7,,-1,24,183,17,179,101,102,1.305361305
Devil Doll,1964,Devil Doll (1964),,tt0058007,81,2181,26.92592593,2026-02-08 21:00:00,FALSE,,NR,,Horror,,Lindsay Shonteff,,"Bryant Haliday, William Sylvester, Yvonne Romain",,0,,-1,,4.8,,-1,87,1768,47,2483,1532,979,2.033426184
Rebirth of Mothra II,1997,Rebirth of Mothra II (1997),,tt0133104,97,293,3.020618557,2026-02-01 22:24:00,TRUE,,UR,,"Action, Fantasy, Sci-Fi",,Kunio Miyoshi,,"Megumi Kobayashi, Sayaka Yamaguchi, Aki Hano",,0,,-1,,5.1,,-1,44,245,28,419,140,104,2.078066914
Planet Earth,1974,Planet Earth (1974),,tt0072000,74,2442,33,2026-02-01 21:00:00,FALSE,,NR,,"Drama, Sci-Fi, Thriller",,Marc Daniels,,"John Saxon, Janet Margolin, Ted Cassidy",,0,,-1,,5.7,,-1,116,1859,62,3016,1421,896,2.063241107
Rebirth of Mothra,1996,Rebirth of Mothra (1996),,tt0117089,104,323,3.105769231,2026-01-25 22:32:00,TRUE,,UR,,"Action, Adventure, Family",,Okihiro Yoneda,,"Megumi Kobayashi, Sayaka Yamaguchi, Aki Hano",,0,,-1,,5.8,,-1,31,211,21,341,64,108,1.516853933
The Quatermass Xperiment,1955,The Quatermass Xperiment (1955),,tt0049646,82,2719,33.15853659,2026-01-25 21:00:00,FALSE,,Approved,,"Horror, Sci-Fi",,Val Guest,,"Brian Donlevy, Jack Warner, Richard Wordsworth",,0,,-1,,6.6,,-1,113,2248,57,3419,1053,1128,1.800684518
Mars Attacks!,1996,Mars Attacks! (1996),,tt0116996,106,306,2.886792453,2026-01-18 22:51:00,TRUE,,PG-13,,"Comedy, Sci-Fi",,Tim Burton,,"Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker",,3.19,,52,,6.4,,79583719.62,36,266,20,561,167,134,2.545454545
Mothra,1961,Mothra (1961),,tt0055198,101,2390,23.66336634,2026-01-18 21:00:00,FALSE,,Approved,,"Adventure, Fantasy, Sci-Fi",,Ishirô Honda,,"Furankî Sakai, Hiroshi Koizumi, Kyôko Kagawa",,0.02,,-1,,6.6,,-1,99,1905,52,2406,1383,1025,1.764377183
Daigoro vs. Goliath,1972,Daigoro vs. Goliath (1972),,tt0188014,85,96,1.129411765,2026-01-11 23:29:00,TRUE,,NR,,"Action, Family, Fantasy",,Toshihiro Iijima,,"Hiroshi Inuzuka, Akiji Kobayashi, Fusako Amachi",,0,,-1,,5,,-1,21,63,15,133,17,24,1.886792453
Godzilla,1998,Godzilla (1998),,tt0120685,139,3728,26.82014388,2026-01-11 21:00:00,FALSE,,PG-13,,"Action, Sci-Fi, Thriller",,Roland Emmerich,,"Matthew Broderick, Jean Reno, Maria Pitillo",,10.13,,32,,5.5,,276391866.1,117,3089,70,4343,1791,1761,1.799618601
Death Race 2000,2000,Death Race 2000 (2000),,tt0072856,80,2310,28.875,2026-01-04 21:00:00,FALSE,,R,,"Action, Comedy, Sci-Fi",,Paul Bartel,,"David Carradine, Sylvester Stallone, Simone Griffeth",,0,,58,,6.2,,-1,94,1672,61,1842,834,825,1.344048217
The Super Inframan,1975,The Super Inframan (1975),,tt0073168,90,371,4.122222222,2025-12-28 22:33:00,TRUE,,PG,,"Action, Sci-Fi",,Shan Hua,,"Danny Lee, Terry Liu, Hsieh Wang",,0,,-1,,6.3,,-1,39,298,25,353,98,105,1.348281016
Time Walker,1982,Time Walker (1982),,tt0084796,83,2771,33.38554217,2025-12-28 21:00:00,FALSE,,PG,,"Horror, Sci-Fi",,Tom Kennedy,,"Ben Murphy, Nina Axelrod, Kevin Brophy",,0,,-1,,3.7,,-1,98,2052,52,2644,976,986,1.501140369
Evil of Dracula,1974,Evil of Dracula (1974),,tt0071308,83,208,2.506024096,2025-12-21 22:43:00,TRUE,,NR,,"Drama, Horror",,Michio Yamamoto,,"Toshio Kurosawa, Kunie Tanaka, Katsuhiko Sasaki",,0.01,,-1,,6.3,,-1,33,208,22,405,222,75,3.014423077
Tales from the Crypt,1972,Tales from the Crypt (1972),,tt0069341,93,2617,28.13978495,2025-12-21 21:00:00,FALSE,,PG,,"Drama, Horror, Mystery",,Freddie Francis,,"Joan Collins, Peter Cushing, Ralph Richardson",,0,,-1,,6.8,,-1,100,2046,57,2559,1117,1010,1.576667382
Lake of Dracula,1971,Lake of Dracula (1971),,tt0067503,82,287,3.5,2025-12-14 22:27:00,TRUE,,NR,,Horror,,Michio Yamamoto,,"Chôei Takahashi, Sanae Emi, Midori Fujita",,0.01,,-1,,6.2,,-1,24,187,18,252,54,85,1.291139241
The She-Creature,1956,The She-Creature (1956),,tt0050957,77,2274,29.53246753,2025-12-14 21:00:00,FALSE,,Approved,,"Crime, Fantasy, Horror",,Edward L. Cahn,,"Chester Morris, Tom Conway, Cathy Downs",,0,,-1,,3.8,,-1,87,1754,50,2171,739,825,1.444885799
The Vampire Doll,1970,The Vampire Doll (1970),,tt0066600,71,241,3.394366197,2025-12-07 22:29:00,TRUE,,NR,,Horror,,Michio Yamamoto,,"Kayo Matsuo, Akira Nakao, Yukiko Kobayashi",,0.01,,-1,,6.6,,-1,40,198,25,430,75,87,2.300683371
Attack of the Puppet People,1958,Attack of the Puppet People (1958),,tt0051381,79,2193,27.75949367,2025-12-07 21:00:00,FALSE,,Approved,,"Sci-Fi, Horror",,Bert I. Gordon,,"John Agar, John Hoyt, June Kenney",,0.01,,-1,,5.2,,-1,91,1669,53,2631,487,786,1.614707405
The Monster X Strikes Back: Attack the G8 Summit,2008,The Monster X Strikes Back: Attack the G8 Summit (2008),,tt1190867,98,437,4.459183673,2025-11-30 22:49:00,TRUE,,NR,,"Comedy, Sci-Fi",,Minoru Kawasaki,,"Natsuki Katô, Kazuki Katô, Hide Fukumoto",,0,,-1,,5.2,,-1,25,236,18,303,100,84,1.197622585
The Asphyx,1972,The Asphyx (1972),,tt0069738,99,2546,25.71717172,2025-11-30 21:00:00,FALSE,,PG,,"Fantasy, Horror, Sci-Fi",,Peter Newbrook,,"Robert Powell, Robert Stephens, Jane Lapotaire",,0,,-1,,6.2,,-1,95,2077,58,2829,877,1101,1.603287908
The X from Outer Space,1967,The X from Outer Space (1967),,tt0062411,89,472,5.303370787,2025-11-23 22:21:00,TRUE,,PG,,"Horror, Sci-Fi",,Kazui Nihonmatsu,,"Shun'ya Wazaki, Itoko Harada, Shin'ichi Yanagisawa",,0,,-1,,4.8,,-1,43,382,28,606,168,141,1.81264637
Space Master X-7,1958,Space Master X-7 (1958),,tt0052228,71,2415,34.01408451,2025-11-23 21:00:00,FALSE,,Approved,,"Horror, Sci-Fi, Thriller",,Edward Bernds,,"Bill Williams, Lyn Thomas, Robert Ellis",,0,,-1,,5.2,,-1,96,1857,52,2889,1040,807,1.839419476
Alligator 2: The Mutation,1991,Alligator 2: The Mutation (1991),,tt0101309,92,333,3.619565217,2025-11-16 22:41:00,TRUE,,PG-13,,"Horror, Sci-Fi",,Jon Hess,,"Joseph Bologna, Dee Wallace, Richard Lynch",,0,,-1,,4,,-1,23,295,16,360,85,104,1.417197452
Alligator,1980,Alligator (1980),,tt0080354,91,2958,32.50549451,2025-11-16 21:00:00,FALSE,,R,,"Horror, Sci-Fi, Thriller",,Lewis Teague,,"Robert Forster, Robin Riker, Michael V. Gazzo",,0.03,,62,,6.1,,-1,97,2309,54,3346,630,1139,1.509777862
Pumpkinhead II: Blood Wings,1995,Pumpkinhead II: Blood Wings (1995),,tt0110913,88,301,3.420454545,2025-11-09 22:30:00,TRUE,,R,,"Fantasy, Horror, Thriller",,Jeff Burr,,"Andrew Robinson, Ami Dolenz, Soleil Moon Frye",,0,,-1,,4.7,,-1,31,228,22,197,77,98,1.035916824
Vampires on Bikini Beach,1988,Vampires on Bikini Beach (1988),,tt0177329,80,3059,38.2375,2025-11-09 21:00:00,FALSE,,NR,,Horror,,Mark Headley,,"Jennifer Badham, Todd Kaufman, Stephen Mathews, Nancy Rogers",,0,,-1,,2,,-1,95,2441,57,2868,1006,1237,1.408727273
Fright Night Part 2,1988,Fright Night Part 2 (1988),,tt0097390,104,390,3.75,2025-11-02 22:36:00,TRUE,,R,,"Comedy, Horror, Thriller",,Tommy Lee Wallace,,"William Ragsdale, Roddy McDowall, Traci Lind",,0.02,,-1,,6,,8335930.79,27,295,16,358,70,128,1.249635036
Critters 3,1991,Critters 3 (1991),,tt0101627,86,2421,28.15116279,2025-11-02 21:00:00,FALSE,,PG-13,,"Comedy, Horror, Sci-Fi",,Kristine Peterson,,"John Calvin, Aimee Brooks, Christian Cousins",,0.01,,-1,,4.5,,-1,89,1891,52,2041,866,1038,1.348330241
Legend of the Eight Samurai,1983,Legend of the Eight Samurai (1983),,tt0086244,133,337,2.533834586,2025-10-26 22:41:00,TRUE,,NR,,"Action, Adventure, Drama",,Kinji Fukasaku,,"Hiroko Yakushimaru, Hiroyuki Sanada, Shin'ichi Chiba",,0.04,,-1,,6.4,,-1,23,266,15,372,55,99,1.416252073
The Howling,1981,The Howling (1981),,tt0082533,91,2535,27.85714286,2025-10-26 21:00:00,FALSE,,R,,Horror,,Joe Dante,,"Dee Wallace, Patrick Macnee, Dennis Dugan",,2.03,,68,,6.5,,65394253.43,92,1910,58,2247,599,1019,1.280539933
Magic Crystal,1986,Magic Crystal (1986),,tt0091532,94,231,2.457446809,2025-10-19 22:36:00,TRUE,,NR,,"Action, Adventure, Comedy",,Jing Wong,,"Andy Lau, Cynthia Rothrock, Pak-Cheung Chan",,0,,-1,,6.2,,-1,25,251,18,299,82,75,1.580912863
Pumpkinhead,1988,Pumpkinhead (1988),,tt0095925,86,2047,23.80232558,2025-10-19 21:00:00,FALSE,,R,,"Fantasy, Horror",,Stan Winston,,"Lance Henriksen, Jeff East, John D'Aquino",,0.03,,47,,6.2,,12252012.16,91,1543,48,1551,506,765,1.145961003
Mr. Vampire,1985,Mr. Vampire (1985),,tt0089371,96,298,3.104166667,2025-10-12 22:46:00,TRUE,,PG-13,,"Action, Comedy, Fantasy",,Ricky Lau,,"Ching-Ying Lam, Siu-Ho Chin, Ricky Hui",,1.11,,-1,,7.3,,-1,24,189,17,296,55,61,1.441478439
The Hunger,1983,The Hunger (1983),,tt0085701,96,2232,23.25,2025-10-12 21:00:00,FALSE,,R,,"Drama, Horror",,Tony Scott,,"Catherine Deneuve, David Bowie, Susan Sarandon",,0.03,,52,,6.6,,19840923.76,101,1576,59,3460,954,849,2.318277311
Thrilling Bloody Sword,1981,Thrilling Bloody Sword (1981),,tt0122286,89,222,2.494382022,2025-10-05 22:57:00,TRUE,,NR,,"Action, Fantasy, Adventure",,Hsin-Yi Chang,,"Pu-Liao Hsu, Hui-Shan Yang, Ling-Ling Hsia",,0,,-1,,6.7,,-1,17,158,15,174,48,81,1.168421053
Fright Night,1985,Fright Night (1985),,tt0089175,107,3018,28.20560748,2025-10-05 21:00:00,FALSE,,R,,Horror,,Tom Holland,,"Chris Sarandon, William Ragsdale, Amanda Bearse",,5.05,,62,,7.1,,76550179.63,99,2360,60,2882,1155,1246,1.501301599
Food of the Gods II,1989,Food of the Gods II (1989),,tt0097371,91,232,2.549450549,2025-09-28 22:38:00,TRUE,,R,,"Sci-Fi, Horror",,Damian Lee,,"Paul Coufos, Lisa Schrage, Réal Andrews",,0,,-1,,4.1,,-1,24,186,19,203,42,21,1.172248804
The Food of the Gods,1976,The Food of the Gods (1976),,tt0074540,88,2662,30.25,2025-09-28 21:00:00,FALSE,,PG,,"Adventure, Horror, Sci-Fi",,Bert I. Gordon,,"Marjoe Gortner, Pamela Franklin, Ralph Meeker",,0.02,,20,,4.6,,-1,96,2036,55,2931,491,962,1.456790123
The Angry Red Planet,1959,The Angry Red Planet (1959),,tt0052564,83,2798,33.71084337,2025-09-21 21:00:00,FALSE,,Approved,,"Adventure, Horror, Sci-Fi",,Ib Melchior,,"Gerald Mohr, Nora Hayden, Les Tremayne",,0,,-1,,5.3,,-1,92,2159,53,3060,778,1065,1.548517248
Revenge of the Creature,1955,Revenge of the Creature (1955),,tt0048554,82,346,4.219512195,2025-09-14 22:29:00,TRUE,,Approved,,"Horror, Sci-Fi",,Jack Arnold,,"John Agar, Lori Nelson, John Bromfield",,0,,-1,,5.6,,13565298.51,36,260,24,491,135,107,2.066006601
Creature from the Black Lagoon,1954,Creature from the Black Lagoon (1954),,tt0046876,79,2725,34.49367089,2025-09-14 21:00:00,FALSE,,G,,"Horror, Sci-Fi",,Jack Arnold,,"Richard Carlson, Julie Adams, Richard Denning",,2.02,,68,,6.9,,-1,112,2139,63,2929,1127,1018,1.667763158
Space Freaks from Planet Mutoid,1995,Space Freaks from Planet Mutoid (1995),,tt0131593,84,343,4.083333333,2025-09-07 22:20:00,TRUE,,NR,,Sci-Fi,,Dionysius Zervos,,"Tamela Glenn, Gregory Harvey, Harry Sando",,0,,-1,,3.1,,-1,35,259,27,328,131,123,1.524916944
The Man from Planet X,1951,The Man from Planet X (1951),,tt0043778,70,2442,34.88571429,2025-09-07 21:00:00,FALSE,,Approved,,"Horror, Romance, Sci-Fi",,Edgar G. Ulmer,,"Robert Clarke, Margaret Field, Raymond Bond",,0,,-1,,5.7,,-1,107,1959,62,2466,740,886,1.456941604
Grizzly II: Revenge,2020,Grizzly II: Revenge (2020),,tt0093119,74,467,6.310810811,2025-08-31 22:41:00,TRUE,,NR,,"Horror, Music, Thriller",,André Szöts,,"George Clooney, Laura Dern, Charlie Sheen",,0,,7,,2.7,,-1,41,296,26,378,171,93,1.439056356
Grizzly,1976,Grizzly (1976),,tt0074593,91,3111,34.18681319,2025-08-31 21:00:00,FALSE,,PG,,"Adventure, Horror, Thriller",,William Girdler,,"Christopher George, Andrew Prine, Richard Jaeckel",,0,,25,,5.2,,-1,107,2489,63,3816,1311,1236,1.831071429
The Return of Swamp Thing,1989,The Return of Swamp Thing (1989),,tt0098193,84,280,3.333333333,2025-08-24 22:43:00,TRUE,,PG-13,,"Action, Adventure, Comedy",,Jim Wynorski,,"Dick Durock, Heather Locklear, Louis Jourdan",,1,,39,,4.7,,513916.84,27,231,19,170,79,80,0.9745596869
Swamp Thing,1982,Swamp Thing (1982),,tt0084745,93,2950,31.72043011,2025-08-24 21:00:00,FALSE,,PG,,"Horror, Sci-Fi",,Wes Craven,,"Louis Jourdan, Adrienne Barbeau, Ray Wise",,0.01,,50,,5.3,,-1,112,2236,67,2860,838,1096,1.42614732
Little Shop of Horrors,1986,Little Shop of Horrors (1986),,tt0091419,94,388,4.127659574,2025-08-17 22:22:00,TRUE,,PG-13,,"Comedy, Horror, Musical",,Frank Oz,,"Rick Moranis, Ellen Greene, Vincent Gardenia",,2.14,,81,,7.1,,117701426.4,36,204,25,242,79,64,1.084459459
The Little Shop of Horrors,1960,The Little Shop of Horrors (1960),,tt0054033,72,1744,24.22222222,2025-08-17 21:00:00,FALSE,,NR,,"Comedy, Horror",,Roger Corman,,"Jonathan Haze, Jackie Joseph, Mel Welles",,0,,-1,,6.2,,-1,81,1245,53,1877,528,667,1.609233857
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack (2001)",,tt0279112,105,2563,24.40952381,2025-08-10 21:00:00,FALSE,,NR,,"Action, Adventure, Drama",,Shûsuke Kaneko,,"Chiharu Niiyama, Ryûdô Uzaki, Masahiro Kobayashi",,0.01,,-1,,7,,-1,100,2049,63,2587,808,953,1.472246314
The Raven,1963,The Raven (1963),,tt0057449,86,2762,32.11627907,2025-08-03 21:00:00,FALSE,,G,,"Comedy, Drama, Fantasy",,Roger Corman,,"Vincent Price, Peter Lorre, Boris Karloff",,1,,-1,,6.5,,-1,125,2210,72,2735,942,1110,1.479082864
Vampire Circus,1972,Vampire Circus (1972),,tt0067924,87,2496,28.68965517,2025-07-27 21:00:00,FALSE,,PG,,Horror,,Robert Young,,"Adrienne Corri, Thorley Walters, Anthony Higgins",,0,,-1,,6.3,,-1,97,1950,53,2625,795,988,1.538461538
Trucks,1997,Trucks (1997),,tt0120380,99,211,2.131313131,2025-07-20 22:47:00,TRUE,,R,,"Drama, Horror, Sci-Fi",,Chris Thomson,,"Timothy Busfield, Brenda Bakke, Aidan Devine",,0,,-1,,3.9,,-1,36,142,27,154,46,59,1.133144476
Maximum Overdrive,1986,Maximum Overdrive (1986),,tt0091499,97,2814,29.01030928,2025-07-20 21:00:00,FALSE,,R,,"Action, Comedy, Horror",,Stephen King,,"Emilio Estevez, Pat Hingle, Laura Harrington",,0.04,,24,,5.4,,22416292.17,105,2098,65,2902,860,1132,1.531758958
X: The Man with the X-Ray Eyes,1963,X: The Man with the X-Ray Eyes (1963),,tt0057693,79,2071,26.21518987,2025-07-13 21:00:00,FALSE,,Approved,,"Horror, Sci-Fi, Thriller",,Roger Corman,,"Ray Milland, Diana Van der Vlis, Harold J. Stone",,0.02,,-1,,6.6,,-1,94,1731,55,1913,959,886,1.510783798
Frankenstein Meets the Space Monster,1965,Frankenstein Meets the Space Monster (1965),,tt0059199,79,2759,34.92405063,2025-07-06 21:00:00,FALSE,,UR,,"Horror, Sci-Fi",,Robert Gaffney,,"Marilyn Hanold, James Karen, Lou Cutell",,0,,-1,,3.8,,-1,104,2202,61,2857,847,1113,1.493247329
